person,allNames,institution,ULAN_ID,VIAF_ID,WIKIDATA_ID,GND_ID,group_type
,"Luigi Baldassarre Reviglio | Reviglio, Luigi Baldassarre",midas,,1154327868526851230,,,VIAF
,Unknown / Anonymous,midas,,,,1161189106,GND
,Unknown / Anonymous,midas,,,,116242701,GND
,Unknown / Anonymous,midas,,,,116345993,GND
,Unknown / Anonymous,midas,,,,11670621X,GND
,"Olivieri, Giuseppe Antonio",midas,,1169497792097592608,,,VIAF
,"Balbi, Giovanni",midas,,1170101393112500003,,,VIAF
,"Palazzi Riva, Giovanni Francesco | Palazzi, Riva | Riva Palazzi",midas,,117145663037905071022,,,VIAF
,"Molli, Giovanni",midas,,117164539804232240006,,,VIAF
,"Cooper, Richard | Richard Cooper",frick,,11723595,,,VIAF
,Unknown / Anonymous,midas,,,,117243884,GND
,Unknown / Anonymous,midas,,,,11729229X,GND
,Unknown / Anonymous,midas,,,,11754549X,GND
,Unknown / Anonymous,midas,,,,117679097,GND
,Unknown / Anonymous,midas,,,,118040444,GND
,Nicolaus von Edelspitz Mikulas? | Niklas | Niklas von Edelspitz,midas,,1180931,,,VIAF
,"Antonio Gregolini | Gregolini, Antonio",midas,,1190145856884022920262,,,VIAF
,Bernardino di Pietro da Carona | Bernardino di Pietro da Carona,midas,,1193097,,,VIAF
,"Gsaenger, Wolfgang | Wolfgang Gsaenger",midas,,120255807,,,VIAF
,"Doctor, Sigmund (1597) | Doctor, Simon | Sigmund Doctor",midas,,1202911,,,VIAF
,"Giovanni Miretto | Miretto, Giovanni",midas,,120916010,,,VIAF
,"Baratta, Francesco | Baratta, Francesco (1722) | Baratta, Francesco (der Jüngere) | Francesco Baratta",midas,,120959502,,,VIAF
,"Domenico Negri | Negri, Domenico | Negro, Domenico | Neri, Domenico",midas,,120972403,,,VIAF
,"Pitcher, Sydney A. | Pitcher, Sydney Alfred | Sydney Alfred Pitcher",midas,,121146462594727770774,,,VIAF
,"Kuper, Rose | Rose Kuper",frick,,12139553,,,VIAF
,"Tommaso di Battista del Verrocchio | Tommaso del Verrocchio | Verrocchio, Tommaso del",midas,,12145602344601360448,,,VIAF
,"Ambrogio Martinelli | Martinelli, Ambrogio",midas,,12151963686800312975,,,VIAF
,"Pietro Polverelli | Polverelli, Pietro",midas,,12154800217156192734,,,VIAF
,"Oehme, Oscar | Oscar Oehme",midas,,12160789802102682979,,,VIAF
,Princess Alice Countess of Athlone,pmc,,121615526,,,VIAF
,"Ulrike Zott | Zott, Ulrike",midas,,12162178792807851400,,,VIAF
,"Jack Merriott | Merriott, Jack",frick,,121691919,,,VIAF
